1 , train_loss, 0.07601115, train_accuracy, 0.8946192406143345, 2023-03-30 15:35:21.285888
2 , train_loss, 0.041851908, train_accuracy, 0.9459879835039817, 2023-03-30 15:35:35.057959
3 , train_loss, 0.034727756, train_accuracy, 0.9569192619453926, 2023-03-30 15:35:47.891178
4 , train_loss, 0.035228357, train_accuracy, 0.9565628555176336, 2023-03-30 15:36:00.668761
5 , train_loss, 0.034863606, train_accuracy, 0.9567752773037543, 2023-03-30 15:36:13.500311
6 , train_loss, 0.033644203, train_accuracy, 0.9587626208759955, 2023-03-30 15:36:26.414830
7 , train_loss, 0.034084965, train_accuracy, 0.9572285622866895, 2023-03-30 15:36:40.034024
8 , train_loss, 0.033824805, train_accuracy, 0.9581200227531285, 2023-03-30 15:36:53.743015
9 , train_loss, 0.03417601, train_accuracy, 0.9579209328782708, 2023-03-30 15:37:06.525831
10 , train_loss, 0.03353834, train_accuracy, 0.9588648321956768, 2023-03-30 15:37:19.578591
11 , train_loss, 0.029493462, train_accuracy, 0.9648019766780432, 2023-03-30 15:37:34.089891
12 , train_loss, 0.029507393, train_accuracy, 0.9647495378270763, 2023-03-30 15:37:48.720566
13 , train_loss, 0.02837877, train_accuracy, 0.9660391780432308, 2023-03-30 15:38:03.108262
14 , train_loss, 0.02838312, train_accuracy, 0.9662889291808873, 2023-03-30 15:38:17.704118
15 , train_loss, 0.027964083, train_accuracy, 0.9675367960750854, 2023-03-30 15:38:30.722338
16 , train_loss, 0.028196858, train_accuracy, 0.9665724544937427, 2023-03-30 15:38:42.616150
17 , train_loss, 0.028028859, train_accuracy, 0.9668408703071673, 2023-03-30 15:38:53.611071
18 , train_loss, 0.028520513, train_accuracy, 0.9668506470420932, 2023-03-30 15:39:06.690538
19 , train_loss, 0.028441068, train_accuracy, 0.9666791097838452, 2023-03-30 15:39:19.317954
20 , train_loss, 0.02818217, train_accuracy, 0.9667982081911264, 2023-03-30 15:39:33.379728
21 , train_loss, 0.028142694, train_accuracy, 0.9662524886234356, 2023-03-30 15:39:47.777886
22 , train_loss, 0.027986096, train_accuracy, 0.9677056669510806, 2023-03-30 15:40:00.582968
23 , train_loss, 0.02746364, train_accuracy, 0.967773215301479, 2023-03-30 15:40:11.857663
24 , train_loss, 0.027807623, train_accuracy, 0.9675056882821387, 2023-03-30 15:40:25.087891
25 , train_loss, 0.027852798, train_accuracy, 0.9678523179749714, 2023-03-30 15:40:39.768555
26 , train_loss, 0.027799001, train_accuracy, 0.9673732579635951, 2023-03-30 15:40:54.124084
27 , train_loss, 0.027410738, train_accuracy, 0.9680282992036405, 2023-03-30 15:41:06.883286
28 , train_loss, 0.027472466, train_accuracy, 0.9675359072810011, 2023-03-30 15:41:19.730346
29 , train_loss, 0.027277684, train_accuracy, 0.9680282992036405, 2023-03-30 15:41:34.119598
30 , train_loss, 0.027342325, train_accuracy, 0.9684424772468715, 2023-03-30 15:41:46.992756
31 , train_loss, 0.02777347, train_accuracy, 0.9678007679180888, 2023-03-30 15:42:00.942254
32 , train_loss, 0.027676843, train_accuracy, 0.9679883034698521, 2023-03-30 15:42:15.709929
33 , train_loss, 0.027407916, train_accuracy, 0.9678798705915814, 2023-03-30 15:42:30.636870
34 , train_loss, 0.02736714, train_accuracy, 0.9679189775312854, 2023-03-30 15:42:45.554314
35 , train_loss, 0.027617585, train_accuracy, 0.9682798279294653, 2023-03-30 15:42:58.789690
36 , train_loss, 0.02744122, train_accuracy, 0.9672390500568827, 2023-03-30 15:43:11.732656
37 , train_loss, 0.027056377, train_accuracy, 0.9682549416951081, 2023-03-30 15:43:21.757273
38 , train_loss, 0.027357189, train_accuracy, 0.9678256541524458, 2023-03-30 15:43:34.217102
39 , train_loss, 0.027404532, train_accuracy, 0.9681856157565414, 2023-03-30 15:43:47.536670
40 , train_loss, 0.027554242, train_accuracy, 0.967654116894198, 2023-03-30 15:44:00.378745
41 , train_loss, 0.027281329, train_accuracy, 0.9679998577929466, 2023-03-30 15:44:14.215158
42 , train_loss, 0.027270408, train_accuracy, 0.9684424772468715, 2023-03-30 15:44:26.539932
43 , train_loss, 0.027325008, train_accuracy, 0.9681074018771332, 2023-03-30 15:44:39.928174
44 , train_loss, 0.027844947, train_accuracy, 0.9681207337883959, 2023-03-30 15:44:53.922260
45 , train_loss, 0.026808644, train_accuracy, 0.9689873080204778, 2023-03-30 15:45:03.934095
46 , train_loss, 0.0273978, train_accuracy, 0.9683340443686007, 2023-03-30 15:45:14.375768
47 , train_loss, 0.027027154, train_accuracy, 0.9680247440273039, 2023-03-30 15:45:27.882617
48 , train_loss, 0.026849806, train_accuracy, 0.969287720420933, 2023-03-30 15:45:40.903878
49 , train_loss, 0.027460307, train_accuracy, 0.9677225540386803, 2023-03-30 15:45:55.237962
50 , train_loss, 0.027847616, train_accuracy, 0.9671457266780431, 2023-03-30 15:46:06.109840
