1 , train_loss, 0.048088867, train_accuracy, 0.6790080634630452, 2023-04-23 07:09:50.973736
2 , train_loss, 0.046859078, train_accuracy, 0.6817931411595717, 2023-04-23 07:10:02.893186
3 , train_loss, 0.05090905, train_accuracy, 0.6790407090624184, 2023-04-23 07:10:14.799075
4 , train_loss, 0.05501242, train_accuracy, 0.6776961184382345, 2023-04-23 07:10:24.939072
5 , train_loss, 0.05887143, train_accuracy, 0.6768983416035519, 2023-04-23 07:10:34.662383
6 , train_loss, 0.05560922, train_accuracy, 0.6920377383128755, 2023-04-23 07:10:44.966765
7 , train_loss, 0.041580856, train_accuracy, 0.7071914174719248, 2023-04-23 07:10:54.864326
8 , train_loss, 0.03539043, train_accuracy, 0.7154181085139724, 2023-04-23 07:11:04.874529
9 , train_loss, 0.02705045, train_accuracy, 0.7248975744319666, 2023-04-23 07:11:16.523085
10 , train_loss, 0.026097318, train_accuracy, 0.7265604596500392, 2023-04-23 07:11:27.780450
11 , train_loss, 0.020926524, train_accuracy, 0.7330671356751111, 2023-04-23 07:11:37.867035
12 , train_loss, 0.020723727, train_accuracy, 0.7339750914076782, 2023-04-23 07:11:47.774218
13 , train_loss, 0.021125266, train_accuracy, 0.733101821624445, 2023-04-23 07:11:58.304494
14 , train_loss, 0.020915588, train_accuracy, 0.7334548021676678, 2023-04-23 07:12:08.221620
15 , train_loss, 0.020359186, train_accuracy, 0.7344484525985897, 2023-04-23 07:12:18.149071
16 , train_loss, 0.019571424, train_accuracy, 0.7351360505353878, 2023-04-23 07:12:29.286102
17 , train_loss, 0.018024564, train_accuracy, 0.737831352833638, 2023-04-23 07:12:39.668674
18 , train_loss, 0.017708674, train_accuracy, 0.7375497845390441, 2023-04-23 07:12:51.089254
19 , train_loss, 0.01680561, train_accuracy, 0.7389106979629145, 2023-04-23 07:13:02.769934
20 , train_loss, 0.01601617, train_accuracy, 0.7398186536954818, 2023-04-23 07:13:12.752049
21 , train_loss, 0.014907281, train_accuracy, 0.7420161106032906, 2023-04-23 07:13:22.627761
22 , train_loss, 0.014777614, train_accuracy, 0.7422833964481589, 2023-04-23 07:13:34.262505
23 , train_loss, 0.014627493, train_accuracy, 0.7428710172368765, 2023-04-23 07:13:46.291880
24 , train_loss, 0.01452176, train_accuracy, 0.7425057945938887, 2023-04-23 07:13:55.740329
25 , train_loss, 0.0142771825, train_accuracy, 0.7432913293288064, 2023-04-23 07:14:05.114513
26 , train_loss, 0.0141377235, train_accuracy, 0.7437381659702272, 2023-04-23 07:14:15.509652
27 , train_loss, 0.014291901, train_accuracy, 0.743260724079394, 2023-04-23 07:14:25.622429
28 , train_loss, 0.014108273, train_accuracy, 0.743589220423087, 2023-04-23 07:14:35.560958
29 , train_loss, 0.0139890425, train_accuracy, 0.7442951815095326, 2023-04-23 07:14:45.378439
30 , train_loss, 0.013896762, train_accuracy, 0.743589220423087, 2023-04-23 07:14:53.464820
31 , train_loss, 0.013603034, train_accuracy, 0.7442951815095326, 2023-04-23 07:15:03.385241
32 , train_loss, 0.013713145, train_accuracy, 0.7438728290676416, 2023-04-23 07:15:11.179431
33 , train_loss, 0.013738807, train_accuracy, 0.7440136132149386, 2023-04-23 07:15:19.798861
34 , train_loss, 0.013787557, train_accuracy, 0.744185002611648, 2023-04-23 07:15:29.648178
35 , train_loss, 0.01375299, train_accuracy, 0.7441523570122748, 2023-04-23 07:15:39.554315
36 , train_loss, 0.013633464, train_accuracy, 0.744195204361452, 2023-04-23 07:15:49.298275
37 , train_loss, 0.013923728, train_accuracy, 0.7437810133194045, 2023-04-23 07:15:57.063003
38 , train_loss, 0.013798857, train_accuracy, 0.7443441499085923, 2023-04-23 07:16:04.938523
39 , train_loss, 0.013891074, train_accuracy, 0.7438871115173674, 2023-04-23 07:16:14.214343
40 , train_loss, 0.013757938, train_accuracy, 0.743787134369287, 2023-04-23 07:16:22.059678
41 , train_loss, 0.013738731, train_accuracy, 0.7443339481587882, 2023-04-23 07:16:29.948987
42 , train_loss, 0.01358744, train_accuracy, 0.7442319306607469, 2023-04-23 07:16:37.692101
43 , train_loss, 0.01366341, train_accuracy, 0.7439626044659179, 2023-04-23 07:16:47.376307
44 , train_loss, 0.01363462, train_accuracy, 0.744417602507182, 2023-04-23 07:16:59.142450
45 , train_loss, 0.013629987, train_accuracy, 0.7444237235570645, 2023-04-23 07:17:10.855051
46 , train_loss, 0.013674722, train_accuracy, 0.744452288456516, 2023-04-23 07:17:22.652770
47 , train_loss, 0.013893337, train_accuracy, 0.743858546617916, 2023-04-23 07:17:32.625634
48 , train_loss, 0.0136063015, train_accuracy, 0.7444502481065552, 2023-04-23 07:17:43.256264
49 , train_loss, 0.0134947635, train_accuracy, 0.7441890833115695, 2023-04-23 07:17:53.010566
50 , train_loss, 0.013637029, train_accuracy, 0.7440952272133716, 2023-04-23 07:18:02.812886
